key,count,percent_of_total_changes,percent_difference_from_pre
building,1618057,9.2158,263.8013
highway,321468,1.831,208.5727
source,276680,1.5759,257.3754
landuse,83384,0.4749,778.281
damage:event,68170,0.3883,1363300.0
name,38646,0.2201,-38.9035
idp:camp_site,27093,0.1543,541760.0
waterway,26002,0.1481,200.8446
idp:source_20150427,25772,0.1468,515340.0
idp:site,25242,0.1438,504740.0
natural,21092,0.1201,143.1354
surface,20413,0.1163,-37.156
source:date,18957,0.108,58.1199
area,18010,0.1026,228.4698
idp:status_20150427,12770,0.0727,255300.0
amenity,10573,0.0602,-38.2454
earthquake:damage,9882,0.0563,18903.8462
place,9879,0.0563,504.59
ref,8883,0.0506,-29.3598
admin_level,7493,0.0427,480.4028
note,6700,0.0382,360.1648
source:imagery,6500,0.037,7203.3708
idp:status_2015427,6174,0.0352,123380.0
building:levels,6083,0.0346,-48.7186
boundary,6060,0.0345,370.8625
haiti:source,5997,0.0342,5025.641
haiti:source_file,5991,0.0341,5020.5128
haiti:code,5989,0.0341,4890.8333
haiti:objectid,5987,0.0341,5017.094
haiti:import_file,5981,0.0341,5011.9658
leisure,5958,0.0339,195.3892
haiti:type,5957,0.0339,4991.453
fixme,5955,0.0339,860.4839
haiti:nom,5954,0.0339,4988.8889
haiti:nom2,5949,0.0339,4984.6154
id,5821,0.0332,48408.3333
vdccode,5821,0.0332,116320.0
vdcname,5821,0.0332,116320.0
X,5820,0.0331,116300.0
Y,5820,0.0331,116300.0
districtna,5820,0.0331,116300.0
healthtype,5803,0.0331,115960.0
damage,5538,0.0315,110660.0
source:geometry,5533,0.0315,896.9369
damage:structure,5364,0.0306,107180.0
layer,5119,0.0292,7.3166
tracktype,5018,0.0286,294.187
FIXME,4983,0.0284,1352.7697
source:damage,4698,0.0268,93860.0
bridge,4613,0.0263,56.2669
damage:assessment,4575,0.0261,91400.0
tourism,4326,0.0246,257.5207
idp:status_20150503,4295,0.0245,85800.0
fixme:building,4289,0.0244,85680.0
oneway,4256,0.0242,-70.8772
power,4114,0.0234,82.2774
refugee,3955,0.0225,49337.5
is_in:country,3412,0.0194,4844.9275
emergency:helipad,3375,0.0192,67400.0
is_in:district,3354,0.0191,66980.0
admin_unit,3352,0.0191,66940.0
mapping_project,3352,0.0191,66940.0
brownfield:source_20150503,3236,0.0184,64620.0
addr:country,2903,0.0165,-26.0759
idp:source_20150503,2852,0.0162,56940.0
lit,2844,0.0162,-59.6653
barrier,2840,0.0162,-70.2431
addr:street,2694,0.0153,-80.7668
ford,2655,0.0151,284.7826
lanes,2619,0.0149,-61.5192
addr:city,2258,0.0129,-68.0713
foot,2236,0.0127,-53.0843
addr:housenumber,2075,0.0118,-83.2215
smoothness,2059,0.0117,-64.7008
bicycle,1998,0.0114,-63.0479
type:haiti,1980,0.0113,-2.7982
source:haiti,1966,0.0112,-4.0508
service,1836,0.0105,-55.7803
leaf_type,1697,0.0097,-3.2497
border_type,1668,0.0095,6315.3846
source:name,1623,0.0092,230.5499
boat,1620,0.0092,213.9535
genus,1615,0.0092,22.7204
addr:postcode,1613,0.0092,-55.6381
species,1596,0.0091,22.2989
species:it,1590,0.0091,45.7379
genus:it,1567,0.0089,46.8604
maxspeed,1318,0.0075,-82.4524
name:en,1310,0.0075,-10.8237
population,1252,0.0071,1484.8101
intermittent,1251,0.0071,222.4227
crossing,1200,0.0068,-81.4872
access,1199,0.0068,-60.624
addr:district,1193,0.0068,150.6303
footway,1153,0.0066,-73.9199
sidewalk,1134,0.0065,-49.2617
water,1129,0.0064,134.2324
tunnel,1037,0.0059,2.9791
shop,1035,0.0059,-86.2714
practicability,912,0.0052,-44.6938
tactile_paving,847,0.0048,-71.8136
horse,834,0.0048,67.1343
motor_vehicle,780,0.0044,-6.4748
idp:status_20150514,767,0.0044,15240.0
width,757,0.0043,0.9333
crossing:markings,724,0.0041,95.1482
operator,715,0.0041,-86.7544
voltage,703,0.004,-50.0
man_made,699,0.004,-82.9387
ele,685,0.0039,165.5039
int_ref,681,0.0039,-36.9444
cycleway,676,0.0039,-40.0177
cables,671,0.0038,416.1538
pcode,645,0.0037,706.25
source:health_facility,621,0.0035,676.25
id_commune,620,0.0035,12300.0
public_transport,607,0.0035,-90.4889
covered,576,0.0033,-37.5948
operational_status,562,0.0032,-86.8353
attribution,556,0.0032,1488.5714
crossing:island,547,0.0031,-60.7322
geometry_source_type,518,0.003,1380.0
building_status,518,0.003,-59.6259
attribute_source_type,510,0.0029,1445.4545
health_facility:department,509,0.0029,10080.0
building:material,508,0.0029,-89.0186
health_facility:commune,507,0.0029,10040.0
health_facility:commune_id,507,0.0029,10040.0
health_facility:paho_id,507,0.0029,10040.0
alt_name,500,0.0028,-47.0339
aeroway,494,0.0028,325.8621
incline,487,0.0028,-17.3175
operational_status_quality,483,0.0028,-85.7396
sac_scale,469,0.0027,101.2876
project,455,0.0026,-83.9958
name_old,453,0.0026,4430.0
pcode_2,452,0.0026,8940.0
pcode_3,452,0.0026,8940.0
cosmha,447,0.0025,-83.6084
religion,438,0.0025,-76.4009
level,434,0.0025,-1.3636
phone,430,0.0024,-82.8
bus,407,0.0023,-93.6016
source:lca,400,0.0023,4900.0
surface_condition,400,0.0023,1500.0
brownfield:source_20150514,398,0.0023,7860.0
network,382,0.0022,-93.2959
material,377,0.0021,-11.0849
colour,371,0.0021,-46.6187
name:ne,370,0.0021,-28.9827
wires,363,0.0021,3530.0
earthquake_damage,345,0.002,6800.0
railway,344,0.002,-85.5644
zone:maxspeed,338,0.0019,-50.2941
wikipedia,333,0.0019,-22.3776
health_facility_type,327,0.0019,2415.3846
sport,325,0.0019,-40.0369
operator:type,323,0.0018,-95.0837
keepme,321,0.0018,3110.0
camp_site=spontaneous_camp,316,0.0018,6220.0
bridge:structure,309,0.0018,296.1538
trail_visibility,303,0.0017,110.4167
name:np,299,0.0017,-51.2235
survey_date,290,0.0017,5700.0
structure,270,0.0015,5300.0
building_count,270,0.0015,45.1613
segregated,269,0.0015,-82.4756
website,267,0.0015,-87.453
personnel:count,265,0.0015,56.8047
source:lca:date,262,0.0015,4266.6667
opening_hours,260,0.0015,-85.5796
junction,246,0.0014,-83.3559
density,246,0.0014,1540.0
idp:source_20150514,245,0.0014,4800.0
shelter,244,0.0014,-80.8025
isced:level,243,0.0014,63.0872
student:count,241,0.0014,73.3813
wikidata,240,0.0014,-71.6981
Source,240,0.0014,1746.1538
copythis,229,0.0013,4480.0
roof:shape,221,0.0013,-59.9638
building:structure,217,0.0012,-75.2847
wheelchair,215,0.0012,-82.9635
crop,212,0.0012,-67.9758
bench,211,0.0012,-83.254
building:soft_storey,208,0.0012,-73.3333
description,206,0.0012,-77.8017
building:overhang,202,0.0012,-74.0693
network:wikidata,201,0.0011,-94.4643
building:adjacency,200,0.0011,-74.3261
shape:plan,200,0.0011,-73.822
buildings,198,0.0011,1137.5
embankment,197,0.0011,-46.9003
mapillary,197,0.0011,3840.0
shape:elevation,197,0.0011,-74.6134
roof:material,191,0.0011,-17.6724
building:roof,189,0.0011,-95.2738
start_date,186,0.0011,-44.1441
cycleway:both,184,0.001,-88.5072
basin,177,0.001,1375.0
brand,175,0.001,-83.1407
historic,175,0.001,-88.1677
cutting,172,0.001,16.2162
building:bay:x,171,0.001,-6.044
building:bay:y,171,0.001,-6.044
building:ownership,171,0.001,-14.9254
physical_condition,171,0.001,-7.0652
retrofit,171,0.001,-7.0652
idp:status_20150501,170,0.001,3300.0
seismic_resistance,169,0.001,-2.3121
fixme:tourism,167,0.001,3240.0
date,165,0.0009,243.75
office,164,0.0009,-80.5917
name:it,162,0.0009,-21.3592
oid,162,0.0009,3.1847
occupant:day,160,0.0009,-8.5714
name:etymology:wikidata,159,0.0009,-95.2861
idp:source_20150501,159,0.0009,3080.0
designation,157,0.0009,248.8889
indoor,156,0.0009,33.3333
int_name,156,0.0009,-26.0664
brand:wikidata,155,0.0009,-82.7394
is_in,149,0.0008,12.0301
mtb:scale,144,0.0008,-15.7895
denomination,143,0.0008,-80.2759
capacity,137,0.0008,-77.9032
old_ref,137,0.0008,-90.969
country,137,0.0008,226.1905
fee,132,0.0008,-91.5113
health_facility:type,132,0.0008,69.2308
bin,131,0.0007,-81.4184
paho:commune,130,0.0007,68.8312
paho:commune_id,130,0.0007,68.8312
paho:department,130,0.0007,66.6667
paho:district_id,130,0.0007,68.8312
paho:id,130,0.0007,66.6667
paho:region_id,130,0.0007,68.8312
occupant:night,130,0.0007,0.0
traffic_calming,129,0.0007,-75.1923
health_facility:organisation,129,0.0007,2480.0
source:ref,129,0.0007,20.5607
network:wikipedia,128,0.0007,-93.9279
circuits,127,0.0007,252.7778
occupant:morning,126,0.0007,0.0
construction,125,0.0007,-74.3326
route,123,0.0007,8.8496
pcode:2,121,0.0007,348.1481
occupant:evening,121,0.0007,-1.626
floor:material,120,0.0007,-21.0526
idp:status_20150511,120,0.0007,2300.0
mtb:scale:uphill,119,0.0007,325.0
VCODE,119,0.0007,2280.0
idp:source_20150511,118,0.0007,2260.0
train,117,0.0007,148.9362
handrail,117,0.0007,-45.3271
parking,117,0.0007,-89.0244
gauge,116,0.0007,-93.9012
name:fr,116,0.0007,-30.9524
Household Code,115,0.0007,-97.1647
frequency,113,0.0006,-90.9744
impassable,113,0.0006,927.2727
sahana_id,112,0.0006,460.0
AREA_M,112,0.0006,2140.0
DIST_NAME,112,0.0006,2140.0
ref:corine_land_cover,111,0.0006,-63.961
bicycle_parking,110,0.0006,-60.5735
cycleway:right,110,0.0006,-93.6563
ID,109,0.0006,2080.0
trolleybus,107,0.0006,-90.5893
DCODE,107,0.0006,2040.0
paho:type,104,0.0006,116.6667
BADHAE,101,0.0006,1920.0
BADI,101,0.0006,1920.0
BANGALI,101,0.0006,1920.0
BANIYA,101,0.0006,1920.0
BANTAR,101,0.0006,1920.0
BARAE,101,0.0006,1920.0
BHEDIYAR__,101,0.0006,1920.0
BHOTE,101,0.0006,1920.0
BING_BINDA,101,0.0006,1920.0
BOTE,101,0.0006,1920.0
BRAHMAN_H,101,0.0006,1920.0
BRAHMAN_T,101,0.0006,1920.0
BRAHMU_BAR,101,0.0006,1920.0
BYANGSI,101,0.0006,1920.0
CHAMAR_HAR,101,0.0006,1920.0
CHEPANG__P,101,0.0006,1920.0
CHHANTEL,101,0.0006,1920.0
CHHETRI,101,0.0006,1920.0
CHIDIMAR,101,0.0006,1920.0
CHURAUTE,101,0.0006,1920.0
DAMAI_DHOL,101,0.0006,1920.0
DANUWAR,101,0.0006,1920.0
DARAI,101,0.0006,1920.0
DHANUK,101,0.0006,1920.0
DHIMAL,101,0.0006,1920.0
DHOBI,101,0.0006,1920.0
DHUNIA,101,0.0006,1920.0
DOM,101,0.0006,1920.0
DOMETH,101,0.0006,1920.0
DURA,101,0.0006,1920.0
DUSADH_PAS,101,0.0006,1920.0
D_CODE,101,0.0006,1920.0
ECO_REG,101,0.0006,1920.0
ECO_REG1,101,0.0006,1920.0
GAINE,101,0.0006,1920.0
GANGAI,101,0.0006,1920.0
GHARTI_BHU,101,0.0006,1920.0
GURUNG,101,0.0006,1920.0
HAJAM_THAK,101,0.0006,1920.0
HALKHOR,101,0.0006,1920.0
HALUWAI,101,0.0006,1920.0
HAYU,101,0.0006,1920.0
JAINE,101,0.0006,1920.0
JHAGAR_DHA,101,0.0006,1920.0
JIREL,101,0.0006,1920.0
KAHAR,101,0.0006,1920.0
KALWAR,101,0.0006,1920.0
KAMAR,101,0.0006,1920.0
KAMI,101,0.0006,1920.0
KANU,101,0.0006,1920.0
KAYASTHA,101,0.0006,1920.0
KEWAT,101,0.0006,1920.0
KHATWE,101,0.0006,1920.0
KISAN,101,0.0006,1920.0
KOCHE,101,0.0006,1920.0
KOIRI,101,0.0006,1920.0
KUMAL,101,0.0006,1920.0
KUMHAR,101,0.0006,1920.0
KURMI,101,0.0006,1920.0
KUSUNDA,101,0.0006,1920.0
KUSWADIYA_,101,0.0006,1920.0
LEPCHA,101,0.0006,1920.0
LIMBU,101,0.0006,1920.0
LODHA,101,0.0006,1920.0
LOHAR,101,0.0006,1920.0
MAGAR,101,0.0006,1920.0
MAJHI,101,0.0006,1920.0
MAJLANG,101,0.0006,1920.0
MAJ_ETHIN,101,0.0006,1920.0
MAJ_VDC_NO,101,0.0006,1920.0
MALI,101,0.0006,1920.0
MALLAH,101,0.0006,1920.0
MARWADI,101,0.0006,1920.0
MECHE,101,0.0006,1920.0
MUNDA,101,0.0006,1920.0
MUSAHAR,101,0.0006,1920.0
MUSLIM,101,0.0006,1920.0
NEWAR,101,0.0006,1920.0
NEWFIELD1,101,0.0006,1920.0
NMAJ_ETH_,101,0.0006,1920.0
NUNIYA,101,0.0006,1920.0
NURANG,101,0.0006,1920.0
OTHER,101,0.0006,1920.0
OTHERS,101,0.0006,1920.0
PAHARI,101,0.0006,1920.0
PERCENT,101,0.0006,1920.0
PMAJ_ETH_,101,0.0006,1920.0
PUNJA_SIKH,101,0.0006,1920.0
RAI,101,0.0006,1920.0
RAJBANSI,101,0.0006,1920.0
RAJBHAR,101,0.0006,1920.0
RAJI,101,0.0006,1920.0
RAJPUT,101,0.0006,1920.0
RAUTE,101,0.0006,1920.0
REGION13,101,0.0006,1920.0
REGI_NAME,101,0.0006,1920.0
REPETE_VDC,101,0.0006,1920.0
SANTHAL_SA,101,0.0006,1920.0
SANYASI,101,0.0006,1920.0
SARKI,101,0.0006,1920.0
SHERPA,101,0.0006,1920.0
SONAR,101,0.0006,1920.0
SUDHI,101,0.0006,1920.0
SUNUWAR,101,0.0006,1920.0
TAJPURIYA,101,0.0006,1920.0
TAMANG,101,0.0006,1920.0
TATMA,101,0.0006,1920.0
TELI,101,0.0006,1920.0
THAKALI,101,0.0006,1920.0
THAKURI,101,0.0006,1920.0
THAMI,101,0.0006,1920.0
THARU,101,0.0006,1920.0
TOTAL,101,0.0006,1920.0
UNID_CASTE,101,0.0006,1920.0
UNID_DALIT,101,0.0006,1920.0
WALUNG,101,0.0006,1920.0
YADAV,101,0.0006,1920.0
YAKKHA,101,0.0006,1920.0
YEHLMO,101,0.0006,1920.0
ZCODE,101,0.0006,1920.0
ZONE_NAME,101,0.0006,1920.0
dist,101,0.0006,1920.0
dist_code,101,0.0006,1920.0
ADIBA_JANA,100,0.0006,1900.0
electrified,99,0.0006,-92.6009
cuisine,99,0.0006,-83.0479
trolley_wire,98,0.0006,-89.3594
VDC_NAME,98,0.0006,1860.0
type,93,0.0005,-36.3014
hires,89,0.0005,641.6667
ramp,86,0.0005,-41.4966
Household Info By,86,0.0005,-97.6263
name:new,86,0.0005,-38.1295
maxspeed:type,84,0.0005,-94.5876
name:source,84,0.0005,1580.0
backrest,83,0.0005,-59.1133
pcode:3,83,0.0005,730.0
cycleway:left,82,0.0005,-85.6392
trolley_wire:both,82,0.0005,-85.4093
entrance,80,0.0005,-71.1191
name:ht,80,0.0005,8.1081
idp:camp_site=spontaneous_camp,80,0.0005,1500.0
button_operated,78,0.0004,-56.1798
farmland,78,0.0004,1200.0
farming_system,78,0.0004,-77.193
railway:scmt,77,0.0004,-93.7903
building:part,77,0.0004,-86.5854
lane_markings,76,0.0004,-91.1833
traffic_signals:sound,76,0.0004,-60.6218
bed,76,0.0004,1420.0
column:size,76,0.0004,-14.6067
key,74,0.0004,825.0
kll:oid,74,0.0004,-97.4579
noexit,73,0.0004,-64.7343
crop1:name,72,0.0004,-77.5
crop1:percentage,72,0.0004,-77.3585
gns:ufi,72,0.0004,1100.0
check_date,71,0.0004,-78.2209
usage,70,0.0004,-93.8918
imagery,70,0.0004,1066.6667
crop1:time,70,0.0004,-77.8481
crop2:name,70,0.0004,-77.7778
crop2:percentage,70,0.0004,-77.7778
crop2:time,70,0.0004,-77.7778
shelter_type,69,0.0004,-69.0583
name:hi,69,0.0004,-11.5385
trolley_wire:forward,68,0.0004,-87.477
contact:phone,68,0.0004,-66.5025
tower:type,68,0.0004,-45.1613
source:smoothness,68,0.0004,112.5
recycling_type,66,0.0004,-76.5957
traffic_signals:direction,66,0.0004,-78.7781
grade,66,0.0004,-40.0
oneway:bicycle,64,0.0004,-71.3004
height,64,0.0004,-92.4081
name:ru,64,0.0004,-11.1111
alt_name_1,64,0.0004,1180.0
brownfield,64,0.0004,1180.0
line,64,0.0004,255.5556
contact_person,62,0.0004,-87.4494
galli,62,0.0004,-23.4568
source:image,61,0.0003,60.5263
building_1,61,0.0003,916.6667
Boundary,61,0.0003,1120.0
crop3:name,61,0.0003,-79.2517
crop3:percentage,61,0.0003,-79.2517
crop3:time,61,0.0003,-79.2517
point,61,0.0003,1120.0
railway:traffic_mode,60,0.0003,-89.1304
plant:output:electricity,60,0.0003,33.3333
loc_ref,60,0.0003,-92.7536
plant:method,59,0.0003,25.5319
plant:source,59,0.0003,11.3208
idp,59,0.0003,1080.0
emergency,58,0.0003,-86.8182
generator:source,58,0.0003,-84.2391
idp:campsite,58,0.0003,1060.0
history,57,0.0003,-59.2857
source:sahana,57,0.0003,280.0
source:maxspeed,55,0.0003,-94.8308
motorcycle,55,0.0003,-69.2737
sac_scale_ref,55,0.0003,511.1111
step_count,54,0.0003,-14.2857
old_name,54,0.0003,-89.243
source:alt_name,54,0.0003,170.0
email,53,0.0003,-91.1371
firesideint:schooltag,52,0.0003,642.8571
healthcare,51,0.0003,-89.1258
internet_access,51,0.0003,-86.5079
wikipedia:en,51,0.0003,45.7143
operator_type,51,0.0003,-75.8294
futur_use,50,0.0003,-78.4483
humanitarian_use,50,0.0003,-87.6238
source:name:etymology,49,0.0003,-94.5556
damage_status,49,0.0003,-88.0779
conveying,48,0.0003,700.0
traffic_signals:vibration,48,0.0003,-47.8261
prac,48,0.0003,-81.0277
voltage-high,48,0.0003,860.0
lanes:forward,46,0.0003,-90.3766
2008_use,46,0.0003,-79.3722
capital,46,0.0003,-28.125
damage_event,46,0.0003,820.0
idp:status,46,0.0003,820.0
source_ref,45,0.0003,125.0
kitchen,45,0.0003,-78.7736
id:db_shelter,45,0.0003,-76.8041
substation,44,0.0003,51.7241
court,44,0.0003,-79.6296
2009_use,44,0.0003,-79.5349
2010_use,44,0.0003,-79.2453
cycleway:surface,43,0.0002,-81.8565
rer_edi_id:ref,43,0.0002,-91.2602
building_use,43,0.0002,-83.3977
aerialway,43,0.0002,330.0
operator:wikidata,42,0.0002,-89.8551
abandoned:building,42,0.0002,366.6667
name:es,42,0.0002,13.5135
power_source,42,0.0002,-69.1176
ref:MSPP,42,0.0002,281.8182
ref:mspp,42,0.0002,740.0
crop4:name,42,0.0002,-78.125
crop4:percentage,42,0.0002,-78.125
crop4:time,42,0.0002,-76.2712
heritage,41,0.0002,64.0
heritage:operator,41,0.0002,64.0
recycling:cans,41,0.0002,-41.4286
recycling:paper,41,0.0002,-53.4091
ref:whc,41,0.0002,64.0
whc:inscription_date,41,0.0002,64.0
atm,41,0.0002,-77.4725
smoking,41,0.0002,-71.3287
sensor,41,0.0002,720.0
comment,41,0.0002,412.5
building:use,41,0.0002,-93.3225
maxheight,40,0.0002,-79.4872
oneway:psv,40,0.0002,-74.6835
passenger_lines,40,0.0002,-95.5157
